id,walk,view,sex,payment,country
1,15,5,M,176,C
2,15,5,M,194,C
3,27,12,F,384,C
4,24,9,F,329,C
5,21,8,F,290,C
6,23,8,M,246,C
7,18,6,F,235,C
8,27,11,F,353,C
9,25,10,F,324,C
10,8,2,M,93,C
11,22,9,M,306,C
12,24,10,F,330,C
13,22,9,F,314,C
14,12,3,M,42,C
15,19,7,F,267,C
16,25,13,F,440,C
17,27,11,F,369,C
18,19,6,F,247,C
19,10,3,M,71,C
20,25,9,F,287,C
21,18,6,F,222,C
22,23,10,F,359,C
23,22,8,F,269,C
24,21,8,F,266,C
25,19,7,M,224,C
26,21,7,F,255,C
27,13,4,M,80,C
28,13,13,F,414,C
29,12,4,M,120,C
30,20,7,M,243,C
31,19,7,M,221,C
32,26,10,F,357,C
33,23,8,M,275,C
34,20,7,M,229,C
35,21,7,F,264,C
36,25,9,F,323,C
37,30,13,F,418,C
38,22,8,F,267,C
39,21,7,M,251,C
40,19,7,M,248,C
41,25,9,F,312,C
42,10,3,M,45,C
43,31,13,F,521,C
44,20,7,F,233,C
45,21,7,M,251,C
46,19,7,F,262,C
47,24,9,F,301,C
48,22,8,F,284,C
49,14,4,M,123,C
50,21,7,M,249,C
51,22,8,F,276,C
52,23,9,F,298,C
53,16,5,M,200,C
54,8,2,M,10,C
55,20,7,M,266,C
56,18,6,M,231,C
57,18,6,M,142,C
58,17,5,M,175,C
59,18,6,F,220,C
60,19,6,M,240,C
61,22,9,F,326,C
62,23,9,M,316,C
63,14,4,M,85,C
64,17,6,M,211,C
65,20,7,F,261,C
66,27,11,M,394,C
67,22,8,M,293,C
68,14,4,M,88,C
69,22,8,F,296,C
70,18,6,M,230,C
71,31,13,F,368,C
72,22,8,F,281,C
73,18,6,F,196,C
74,20,7,F,225,C
75,19,7,M,230,C
76,22,8,F,256,C
77,21,8,F,287,C
78,23,9,F,300,C
79,22,8,F,299,C
80,19,6,F,233,C
81,19,6,M,235,C
82,21,8,F,294,C
83,20,7,M,254,C
84,19,7,F,252,C
85,27,11,F,339,C
86,29,12,F,364,C
87,16,5,M,141,C
88,29,12,F,362,C
89,26,10,M,334,C
90,19,7,F,249,C
91,19,7,F,262,C
92,18,6,M,212,C
93,27,11,F,387,C
94,16,5,M,159,C
95,25,9,F,296,C
96,20,7,M,259,C
97,16,5,M,164,C
98,27,11,F,371,C
99,10,2,M,97,C
100,23,8,F,270,C
101,25,10,F,344,C
102,20,7,F,252,C
103,20,7,M,233,C
104,14,4,M,163,C
105,23,9,F,323,C
106,16,5,M,72,C
107,24,10,F,359,C
108,20,8,M,289,C
109,20,8,F,285,C
110,18,6,M,219,C
111,20,8,F,276,C
112,18,6,M,224,C
113,16,5,M,183,C
114,19,7,F,250,C
115,29,12,F,594,C
116,16,5,M,163,C
117,20,7,M,215,C
118,23,9,F,309,C
119,19,7,F,262,C
120,31,13,F,457,C
121,23,9,F,412,C
122,29,12,F,421,C
123,22,8,F,324,C
124,17,5,F,155,C
125,21,8,F,322,C
126,17,5,M,93,C
127,17,5,M,72,C
128,19,7,F,307,C
129,23,9,F,309,C
130,20,7,F,228,C
131,23,9,F,343,C
132,23,9,F,242,C
133,19,7,M,232,C
134,15,4,F,190,C
135,24,10,F,322,C
136,27,11,F,378,C
137,20,7,F,247,C
138,17,5,M,183,C
139,19,6,F,176,C
140,19,6,M,196,C
141,19,7,F,262,C
142,24,10,M,353,C
143,26,10,F,320,C
144,21,8,F,325,C
145,15,4,M,169,C
146,23,9,M,340,C
147,24,10,F,330,C
148,28,12,F,373,C
149,19,6,F,214,C
150,21,8,F,307,C
151,27,11,F,380,C
152,20,7,M,234,C
153,22,8,F,265,C
154,22,8,F,273,C
155,19,7,M,231,C
156,19,7,F,261,C
157,23,9,F,295,C
158,21,8,F,266,C
159,18,6,M,195,C
160,13,3,M,122,C
161,17,5,M,219,C
162,20,7,M,232,C
163,11,2,M,5,C
164,30,13,F,433,C
165,15,4,M,114,C
166,17,5,M,132,C
167,29,12,M,367,C
168,15,4,M,107,C
169,25,10,M,325,C
170,18,6,M,199,C
171,21,8,M,359,C
172,23,9,F,270,C
173,16,5,M,161,C
174,17,5,M,167,C
175,13,3,M,116,C
176,15,4,M,147,C
177,22,8,F,279,C
178,21,8,M,269,C
179,32,14,F,401,C
180,20,7,M,247,C
181,21,8,F,261,C
182,20,7,F,262,C
183,8,6,M,219,C
184,23,9,F,319,C
185,22,8,M,256,C
186,20,7,F,237,C
187,17,5,M,186,C
188,20,7,F,266,C
189,24,9,F,314,C
190,26,10,F,320,C
191,18,6,M,170,C
192,17,5,M,163,C
193,23,9,F,263,C
194,27,11,F,408,C
195,21,7,F,247,C
196,18,6,M,247,C
197,17,5,M,151,C
198,18,6,F,230,C
199,17,5,M,196,C
200,19,6,M,238,C
201,27,11,F,364,C
202,25,10,F,336,C
203,17,5,M,190,C
204,19,7,M,278,C
205,20,7,F,267,C
206,17,5,M,152,C
207,27,11,F,411,C
208,15,4,M,118,C
209,17,5,M,131,C
210,29,12,F,365,C
211,19,6,M,209,C
212,18,6,M,219,C
213,13,3,M,38,C
214,15,4,M,88,C
215,22,8,F,293,C
216,20,7,M,240,C
217,17,5,M,191,C
218,15,4,M,131,C
219,15,4,M,128,C
220,31,13,F,411,C
221,19,7,M,231,C
222,23,8,F,289,C
223,27,11,F,347,C
224,25,10,F,284,C
225,22,8,M,271,C
226,15,4,F,39,C
227,18,6,M,217,C
228,25,10,F,357,C
229,17,5,M,157,C
230,23,9,F,309,C
231,18,6,M,227,C
232,18,6,F,206,C
233,16,5,M,142,C
234,18,6,F,235,C
235,26,10,F,316,C
236,22,8,F,290,C
237,19,7,M,249,C
238,25,10,F,365,C
239,31,13,F,443,C
240,19,7,F,281,C
241,22,8,M,258,C
242,21,8,M,277,C
243,17,5,M,151,C
244,17,5,M,150,C
245,29,12,M,351,C
246,25,10,F,297,C
247,25,10,F,299,C
248,20,7,M,228,C
249,21,8,F,298,C
250,20,7,F,272,C
251,18,6,F,234,C
252,21,8,F,291,C
253,16,5,M,147,C
254,31,14,F,411,C
255,25,10,F,322,C
256,19,6,F,266,C
257,26,11,M,354,C
258,18,6,M,199,C
259,28,12,F,411,C
260,19,6,M,214,C
261,12,3,M,113,C
262,28,12,F,369,C
263,17,11,F,317,C
264,19,6,M,162,C
265,14,4,M,47,C
266,11,3,M,119,C
267,18,6,F,202,C
268,12,3,M,23,C
269,17,5,F,247,C
270,22,8,M,268,C
271,27,11,F,348,C
272,16,5,F,239,C
273,19,7,M,210,C
274,19,7,M,212,C
275,30,13,F,448,C
276,18,6,F,207,C
277,14,4,F,186,C
278,12,3,M,79,C
279,24,9,M,310,C
280,21,7,M,277,C
281,23,9,F,294,C
282,18,6,F,226,C
283,24,9,F,329,C
284,21,8,F,309,C
285,20,7,F,291,C
286,19,6,M,174,C
287,28,12,F,328,C
288,18,6,M,207,C
289,25,10,M,276,C
290,20,7,F,217,C
291,29,13,F,424,C
292,25,10,F,290,C
293,18,6,M,253,C
294,19,7,F,239,C
295,20,7,M,235,C
296,9,3,M,46,C
297,29,13,F,371,C
298,28,12,F,355,C
299,17,5,M,196,C
300,22,8,M,251,C
301,41,16,F,379,J
302,34,9,M,237,J
303,47,19,F,432,J
304,39,12,M,300,J
305,41,15,F,327,J
306,42,15,F,332,J
307,35,11,M,270,J
308,35,12,M,289,J
309,40,16,F,363,J
310,43,16,F,374,J
311,40,16,F,386,J
312,44,16,F,375,J
313,42,15,F,325,J
314,43,15,F,345,J
315,33,16,M,377,J
316,43,16,F,371,J
317,36,12,M,286,J
318,38,13,M,313,J
319,39,15,M,352,J
320,33,7,M,168,J
321,40,16,F,376,J
322,38,13,M,314,J
323,36,12,M,294,J
324,37,13,M,305,J
325,46,17,F,401,J
326,34,9,M,230,J
327,39,15,F,347,J
328,33,6,M,161,J
329,37,13,M,299,J
330,37,12,M,284,J
331,48,18,F,419,J
332,35,10,M,266,J
333,36,13,F,306,J
334,33,9,M,234,J
335,41,16,M,362,J
336,46,21,F,472,J
337,34,10,M,245,J
338,38,15,M,322,J
339,47,22,F,508,J
340,37,9,M,226,J
341,43,18,F,412,J
342,42,16,F,371,J
343,33,9,M,223,J
344,46,20,F,457,J
345,44,19,F,434,J
346,38,15,M,339,J
347,35,9,M,235,J
348,38,14,M,325,J
349,44,19,F,421,J
350,37,13,M,312,J
351,33,6,M,178,J
